t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,13.9633129516398,2.2971812981391365e-07,-1.6284084,-3.159873,-1.1885266,-0.790411
0.0,14.05225125069483,2.731822648251628e-07,-1.6319132,-3.159654,-1.1916726,-0.7949672
0.0,14.141189549749862,3.2421085793631456e-07,-1.6353011,-3.1592221,-1.1947684,-0.7994983
0.0,14.230127848804893,3.8400271450502767e-07,-1.6385555,-3.1585565,-1.1977725,-0.80397105
0.0,14.319066147859923,4.539272824096714e-07,-1.6417015,-3.1576762,-1.2007015,-0.8084104
0.0,14.408004446914953,5.355460416807627e-07,-1.6447139,-3.1565685,-1.2035553,-0.81279135
0.0,14.496942745969983,6.306361826510055e-07,-1.6475844,-3.1552436,-1.2063341,-0.81713057
0.0,14.585881045025014,7.41216770092038e-07,-1.6503215,-3.1536894,-1.2090294,-0.82142806
0.0,14.674819344080046,8.695776028107731e-07,-1.65295,-3.1519203,-1.2116413,-0.8256922
0.0,14.763757643135076,1.0183109904414332e-06,-1.6554368,-3.149928,-1.2141697,-0.8298979
0.0,14.852695942190106,1.1903466816534407e-06,-1.6577816,-3.1477106,-1.2166314,-0.83406186
0.0,14.941634241245136,1.3889901906586147e-06,-1.6600013,-3.145276,-1.2190013,-0.8381674
0.0,15.030572540300167,1.6179647816997564e-06,-1.6620958,-3.1426163,-1.2212961,-0.8422313
0.0,15.119510839355199,1.8814573840874436e-06,-1.6640401,-3.139733,-1.2234991,-0.84622836
0.0,15.208449138410229,2.18416872326754e-06,-1.6658759,-3.136635,-1.2256353,-0.8501837
0.0,15.29738743746526,2.531367966294743e-06,-1.6675448,-3.1333098,-1.227663,-0.8541057
0.0,15.38632573652029,2.9289521929016713e-06,-1.6691053,-3.1297696,-1.2296324,-0.8579526
0.0,15.47526403557532,3.3835110160090133e-06,-1.6704988,-3.1260083,-1.2315016,-0.8617494
0.0,15.56420233463035,3.902396687981187e-06,-1.6717839,-3.1220298,-1.2332957,-0.8654878
0.0,15.653140633685382,4.49380004109209e-06,-1.6729188,-3.117824,-1.2349813,-0.86917615
0.0,15.742078932740412,5.166832622490307e-06,-1.6739035,-3.1134014,-1.2366085,-0.8727977
0.0,15.831017231795443,5.931615395324063e-06,-1.6747713,-3.1087599,-1.2381356,-0.8763859
0.0,15.919955530850473,6.799374388586851e-06,-1.675489,-3.103899,-1.2395625,-0.8798907
0.0,16.008893829905503,7.782543688526913e-06,-1.6760647,-3.0988193,-1.2409227,-0.883337
0.0,16.097832128960533,8.894876174110925e-06,-1.676507,-3.0935204,-1.242166,-0.8867333
0.0,16.186770428015564,1.0151562407911981e-05,-1.6767907,-3.0879962,-1.2433426,-0.8900628
0.0,16.275708727070594,1.1569358101897376e-05,-1.6769493,-3.0822592,-1.2444274,-0.89334226
0.0,16.364647026125628,1.316672058470611e-05,-1.6769493,-3.076301,-1.2454205,-0.8965466
0.0,16.453585325180658,1.4963954703228202e-05,-1.6768074,-3.070126,-1.2463133,-0.8996675
0.0,16.542523624235688,1.6983368596400455e-05,-1.6765404,-3.0637383,-1.2471311,-0.9027467
0.0,16.63146192329072,1.9249439783091933e-05,-1.6761148,-3.0571232,-1.2478321,-0.9057424
0.0,16.72040022234575,2.178899200870816e-05,-1.675539,-3.0502992,-1.2484579,-0.9086964
0.0,16.80933852140078,2.4631383296597914e-05,-1.6748214,-3.04325,-1.2489836,-0.9115753
0.0,16.89827682045581,2.780870565041e-05,-1.6739535,-3.035984,-1.2494009,-0.9143791
0.0,16.98721511951084,3.13559968522024e-05,-1.6729522,-3.028501,-1.2497346,-0.9171078
0.0,17.07615341856587,3.5311464798211314e-05,-1.6718006,-3.0208092,-1.2499766,-0.91976976
0.0,17.1650917176209,3.9716724809783126e-05,-1.6704822,-3.0128922,-1.2501185,-0.9223566
0.0,17.25403001667593,4.461705035087109e-05,-1.6690135,-3.0047562,-1.2501769,-0.92486835
0.0,17.342968315730964,5.006163757578612e-05,-1.6674113,-2.9964094,-1.2501185,-0.9273133
0.0,17.431906614785994,5.610388412137469e-05,-1.6656506,-2.9878478,-1.24996,-0.9296832
0.0,17.520844913841024,6.280168254658384e-05,-1.6637397,-2.9790673,-1.2497096,-0.93198633
0.0,17.609783212896055,7.021772880929636e-05,-1.6617036,-2.9700696,-1.2493424,-0.93419766
0.0,17.698721511951085,7.841984615545574e-05,-1.6594756,-2.9608593,-1.2489002,-0.9363172
0.0,17.787659811006115,8.748132477867654e-05,-1.6571057,-2.951434,-1.2483411,-0.93837
0.0,17.876598110061146,9.748127758998958e-05,-1.654594,-2.9417875,-1.2476902,-0.940356
0.0,17.965536409116176,0.00010850501241677383,-1.6519153,-2.9319305,-1.2469308,-0.9422586
0.0,18.054474708171206,0.00012064442092754634,-1.6490698,-2.9218583,-1.246063,-0.94406104
0.0,18.143413007226236,0.0001339983845549935,-1.6460907,-2.9115736,-1.245095,-0.9458051
0.0,18.232351306281267,0.00014867319766339758,-1.6429532,-2.901072,-1.2440352,-0.9474573
0.0,18.3212896053363,0.00016478300817868597,-1.639657,-2.8903553,-1.2428503,-0.9490011
0.0,18.41022790439133,0.0001824502758693749,-1.6362107,-2.8794239,-1.2415652,-0.9504781
0.0,18.49916620344636,0.00020180624843506995,-1.6325974,-2.8682795,-1.2401717,-0.95187163
0.0,18.58810450250139,0.00022299145552594386,-1.6288257,-2.8569288,-1.2386863,-0.95318174
0.0,18.67704280155642,0.00024615622078139575,-1.6249037,-2.8453526,-1.2370758,-0.9543917
0.0,18.76598110061145,0.00027146119193924376,-1.6208065,-2.833572,-1.2353652,-0.95550156
0.0,18.854919399666482,0.00029907788902922786,-1.616559,-2.8215723,-1.2335377,-0.95654464
0.0,18.943857698721512,0.00032918927062381385,-1.612153,-2.8093643,-1.2316184,-0.9574709
0.0,19.032795997776542,0.00036199031807919446,-1.6075718,-2.7969453,-1.229574,-0.9583137
0.0,19.121734296831573,0.00039768863765617286,-1.6028488,-2.7843094,-1.2274127,-0.95907307
0.0,19.210672595886603,0.0004365050803673328,-1.5979588,-2.771463,-1.225143,-0.95972395
0.0,19.299610894941633,0.0004786743793519944,-1.5928853,-2.7583992,-1.2227647,-0.9602747
