modelo,seed,n_layers,mean_last_100_loss,mse_mesh,model_path,model_type,n_qubits,k,n_vertex,entangler
R-QNN$^{(3)}_4$,2025,1,1.72953458786651e-05,0.22962110548247083,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,1,1.860216369095724e-05,0.2173500993026109,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,1,1.0115936302099726e-05,0.11908230155910178,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,1,2.5700881506054428e-05,0.3267558979806658,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,1,3.23557123192586e-05,0.3928741983992656,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,1,3.213375348423142e-05,0.38803079705563503,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_1_seed_1997.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,3,1.62159270439588e-05,0.17310786535199965,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1973.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2025,3,2.579533678726875e-05,0.3072942768556207,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,3,1.92626091393322e-05,0.24071095985913418,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,3,9.044537700901857e-06,0.15109026853527838,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,3,6.598772772122175e-05,0.950698279730497,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,3,1.0987822479364697e-05,0.14588131304581786,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,3,4.793146210431587e-05,0.4015473384654386,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_3_seed_1997.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1924,5,3.2506427487533074e-05,0.4022461467037479,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1924.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1925,5,1.9580782154662305e-05,0.24729300338379986,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1925.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1926,5,2.597166363557335e-05,0.20222045949503648,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1926.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1973,5,2.9856152559659675e-05,0.2971059132971379,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1973.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2025,5,3.898816205037293e-05,0.4578063387030065,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2025.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2024,5,3.1105456255318135e-05,0.676768346845662,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2024.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,2012,5,7.243822517921216e-05,0.9063580370125265,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_2012.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1958,5,1.385941477110464e-05,0.12148844393971722,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1958.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1962,5,2.241166706880904e-05,0.18533499624533623,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1962.pth,CQNN,4,3.0,7.0,strong
R-QNN$^{(3)}_4$,1997,5,1.1299969637548202e-05,0.13647909431341249,experimentos_pinn/modelos_salvos/modelo_cqnn_strong_n_qubits_4_k_3_n_vertex_7_n_l_5_seed_1997.pth,CQNN,4,3.0,7.0,strong
